name,address,neighborhood,status,size,price,product,pre_ground,menu_url,source_note
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1 oz,220,RYTHM | 95 COOKIES,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1 oz,112,SMOAKLAND | JACK THE RIPPER,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1 oz,112,SMOAKLAND | SUPERMAN GLUE,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1 oz,220,DANK - NUCLEAR COOKIES,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/2 oz,100,ITHACA CULTIVATED | SOUR DIESEL,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/2 oz,100,BACK HOME CANNABIS COMPANY | JACK HERER,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/2 oz,100,BACK HOME CANNABIS COMPANY | SUPER LEMON HAZE,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/2 oz,110,FIND | WHITE HOT GUAVA,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/2 oz,125,DANK | FABULOSO,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/2 oz,110,FIND | AGENT Z,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,50,ZIZZLE | SILVER HAZE,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,50,RYTHM | JACKS DELIGHT,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,40,FLORIST FARMS | APPLE FRITTER,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,35,KINGS & QUEENS | GARY PAYTON,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,45,EDIE PARKER | SUGAR BREATH 3.5G -,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,45,EDIE PARKER | OG KUSH 3.5G -,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,36,DANK | PURPLE PANTY DROPPER,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,44,CHUNKY BLACK | BLUE RUNTZ,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,48,REC ROOTS - SHERB CREAM PIE,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,45,GRASSROOTS | MOONBEAM GELATO,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,40,AETERNA CANNABIS | RS-11,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,50.14,TO THE MOON - STAR BOYS,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Housing Works Cannabis Co,750 Broadway,NoHo,ok,1/8 oz,50.14,TO THE MOON - GUAVATRON,false,https://hwcannabis.co/menu/broadway/categories/flower/,Official Blaze storefront
Smacked Village,144 Bleecker St,Greenwich Village,ok,1 oz,125,Smoakland - Sour Diesel -,false,https://getsmacked.online/categories/flower/,Joint/Surfside storefront
Smacked Village,144 Bleecker St,Greenwich Village,ok,1/2 oz,102,1937 - Pink Passionfruit -,false,https://getsmacked.online/categories/flower/,Joint/Surfside storefront
Smacked Village,144 Bleecker St,Greenwich Village,ok,1/4 oz,67,Left Coast - Divorce Cake - Premium Infused Shake,false,https://getsmacked.online/categories/flower/,Joint/Surfside storefront
